fixing_commit_hash,introducing_commit_hash,file_path,issue_keys,fixing_date,introducing_date
2e82dc417c038a43e04558cc919885d5def84b7e,b16a46a6632649651bfe244e5b464a102fe83fbd,R/string.R,53,2020-06-16T00:01:18-10:00,2020-05-30T05:46:16-10:00
2e82dc417c038a43e04558cc919885d5def84b7e,96f80d12b4079eb47a2e713ef53e7fd395c0b4e7,man/parse_cve_cwe_file_network.Rd,53,2020-06-16T00:01:18-10:00,2020-06-13T19:00:21-10:00
2e82dc417c038a43e04558cc919885d5def84b7e,a33a93a4e8ae27e9182ba4e9dfe11a4089c120ad,man/parse_dependencies_network.Rd,53,2020-06-16T00:01:18-10:00,2020-06-05T00:52:37-10:00
2e82dc417c038a43e04558cc919885d5def84b7e,8e0ac196b7b4198c3cce335d702ebecba6bc24b6,vignettes/depends_showcase.Rmd,53,2020-06-16T00:01:18-10:00,2020-05-27T23:59:14-10:00
2e82dc417c038a43e04558cc919885d5def84b7e,a4f7cbc4cb583e25548d7f84cd3330837d58d1eb,vignettes/interval_and_metric_showcase.Rmd,53,2020-06-16T00:01:18-10:00,2020-06-06T05:58:04-10:00
2e82dc417c038a43e04558cc919885d5def84b7e,b6de596e05c515af6b08e97ef5f4fa6f598f536d,vignettes/mailinglist_showcase.Rmd,53,2020-06-16T00:01:18-10:00,2020-05-28T04:39:55-10:00
2e82dc417c038a43e04558cc919885d5def84b7e,b16a46a6632649651bfe244e5b464a102fe83fbd,vignettes/merging_networks_showcase.Rmd,53,2020-06-16T00:01:18-10:00,2020-05-30T05:46:16-10:00
252a43b45f93593d8b75d61da4c14e48056d7ea4,f0f125b5df1ea537f4c58ed5c4a6a23997c67aae,R/ast.R,84,2020-08-10T20:59:01-10:00,2020-06-08T03:59:08-10:00
71dae8b29851453d58d85cdf331f42f79d9145e3,f0c82dcf4fe7a849e53dadad7352118841d31b11,tools.yml,75,2021-05-06T00:48:27-10:00,2020-08-10T00:46:10-10:00
257723dd33a1e765f9a0997b4e54ee55dde4a10f,2e82dc417c038a43e04558cc919885d5def84b7e,R/interval.R,104,2021-05-29T20:34:04-10:00,2020-06-16T00:01:18-10:00
509036449aed50389cd2949c3904b694ef284dab,9610584357e6e74b8ea2c788369bcc75aab39ba5,R/download.R,107;109,2021-07-15T13:06:08-10:00,2021-05-29T12:42:16-10:00
b983da4633377931853ae03d6806668c2bae0d96,ce80284b725b7ad2910e504c6c6a8c4ab1065436,DESCRIPTION,102;107,2021-07-15T16:40:19-10:00,2021-07-15T04:00:46-10:00
b983da4633377931853ae03d6806668c2bae0d96,eb022fb2ffc8d23725dad842e55a05d9a6e59cf5,DESCRIPTION,102;107,2021-07-15T16:40:19-10:00,2021-05-22T11:04:51-10:00
b983da4633377931853ae03d6806668c2bae0d96,9610584357e6e74b8ea2c788369bcc75aab39ba5,DESCRIPTION,102;107,2021-07-15T16:40:19-10:00,2021-05-29T12:42:16-10:00
2ef0aefdb9e2c46670bb29aa1da24ea94b06251e,46b9d0575f567c4d64cd7cdd38699c29b2f6dcb0,DESCRIPTION,110,2021-07-16T05:45:31-10:00,2020-07-17T19:28:17-10:00
2ef0aefdb9e2c46670bb29aa1da24ea94b06251e,2e82dc417c038a43e04558cc919885d5def84b7e,R/metric.R,110,2021-07-16T05:45:31-10:00,2020-06-16T00:01:18-10:00
2ef0aefdb9e2c46670bb29aa1da24ea94b06251e,6c2d2aa33f4a35c84f4cf0aae3d85bfdf2f29bd6,R/metric.R,110,2021-07-16T05:45:31-10:00,2020-06-08T22:57:23-10:00
2ef0aefdb9e2c46670bb29aa1da24ea94b06251e,4b844cc8c978a51f23dae540e3400847db998eb7,vignettes/gitlog_showcase.Rmd,110,2021-07-16T05:45:31-10:00,2021-04-26T14:03:58-10:00
15f7b19e4dea00de9d687d23d1a51157694c6c98,4b844cc8c978a51f23dae540e3400847db998eb7,NAMESPACE,113,2021-07-17T04:58:59-10:00,2021-04-26T14:03:58-10:00
15f7b19e4dea00de9d687d23d1a51157694c6c98,4b844cc8c978a51f23dae540e3400847db998eb7,R/network.R,113,2021-07-17T04:58:59-10:00,2021-04-26T14:03:58-10:00
15f7b19e4dea00de9d687d23d1a51157694c6c98,4b844cc8c978a51f23dae540e3400847db998eb7,_pkgdown.yml,113,2021-07-17T04:58:59-10:00,2021-04-26T14:03:58-10:00
